Variable;Description;Levels;% Missing;Summary
Age (Donor);Donor age at alloHCT (decades);;49.49;4.21 (3.12, 5.25)
Age (Patient);Patient age at alloHCT (decades);;0;5.6 (4.69, 6.19)
CMV Patient/Donor;CMV status in patient and donor;−/−;17.8;1439 (27%)
;;−/+;;544 (10%) 
;;+/−;;1281 (24%)
;;+/+;;2024 (38%)
Comorbidity score;HCT-CI score;Low risk (0);59.93;1322 (51%) 
;;Interm. risk (1-2);;657 (25%)
;;High risk (≥3);;599 (23%)
Cytogenetics;Cytogenetics categories used for IPSS-R;V. good/good/interm.;62.23;1784 (73%) 
;;Poor;;287 (12%)
;;V. poor;;359 (15%)
HLA match patient/donor;HLA match between patient and donor;HLA-identical sibling;0;2666 (41%)
;;Other;;3767 (59%)
Karnofsky;Karnofsky performance status;≥90;32.8;3130 (72%)
;;80;;898 (21%)
;;≤70;;295 (7%)
MDS class;MDS groups based on subclassification at alloSCT;MDS w/o excess blasts ;0;1355 (21%)
;;MDS w/ excess blasts ;;2716 (42%)
;;sAML;;2362 (37%)
Patient/Donor sex match;Sex match patient and donor;M/M;1.68;2545 (40%)
;;M/F;;1196 (19%)
;;F/M;;1474 (23%)
;;F/F;;1110 (18%)
Stage;Stage at alloHCT;CR ;3.17;2119 (34%)
;;no CR;;2156 (35%)
;;Untreated;;1954 (31%)
